time_unix,CPU usage [%],terraform-worker-1:9100_memory_percentage,terraform-worker-1:8080_network
1715002717,4.88421052631583,14.1405061796583,0
1715002727,4.88421052631583,14.1405061796583,0
1715002737,4.79473684210267,14.1063559627299,0
1715002747,4.68421052631333,14.0738292068905,0
1715002757,4.68421052631333,14.0738292068905,0
1715002767,4.59824561403247,14.0489119558779,0
1715002777,4.6403508771946,14.0089157781407,0
1715002787,4.6403508771946,14.0089157781407,0
1715002797,4.48947368420997,13.9694023862126,0
1715002807,4.51403508771764,13.9344166746714,0
1715002817,4.51403508771764,13.9344166746714,0
1715002827,4.60175438596656,13.8961665305861,0
1715002837,4.68771929824723,13.8600126274755,0
1715002847,4.68771929824723,13.8600126274755,0
1715002857,4.65296612994423,13.823225849703,0
1715002867,4.72138694250196,13.7856110817604,0
1715002877,4.72138694250196,13.7856110817604,0
1715002887,4.67401868765433,13.7477936938668,0
1715002897,4.73015884154792,13.714016197589,0
1715002907,4.73015884154792,13.714016197589,0
1715002917,4.67928182708231,13.6960955885885,0
1715002927,4.7210526315826,13.6959905263917,0
1715002937,4.7210526315826,13.6959905263917,0
1715002947,4.68245614034699,13.6953926724621,0
1715002957,4.72489570212362,13.6956328146263,0
1715002967,4.72489570212362,13.6956328146263,0
1715002977,4.68245614034846,13.6959054760418,0
1715002987,4.69298245614423,13.6937016713895,0
1715002997,4.69298245614423,13.6937016713895,0
1715003007,4.63333333333476,13.6913602852889,0
1715003017,4.72105263158053,13.6885936474393,0
1715003027,4.72105263158053,13.6885936474393,0
1715003037,4.66315789474011,13.6785376943151,0
1715003047,4.69649122807138,13.6705279525479,0
1715003057,4.69649122807138,13.6705279525479,0
1715003067,4.68212169165388,13.6717336663305,0
1715003077,4.74736842105503,13.6748530129837,0
1715003087,4.74736842105503,13.6748530129837,0
1715003097,4.81578947368363,13.6766540792149,0
1715003107,4.71787818288155,13.6804538286666,0
1715003117,4.71787818288155,13.6804538286666,0
1715003127,4.65614035087433,13.6815144565583,0
1715003137,4.76315789473423,13.6782475225333,0
1715003147,4.76315789473423,13.6782475225333,0
1715003157,4.75964912280745,13.6769242391496,0
1715003167,4.74736842105287,13.6755834453997,0
1715003177,4.74736842105287,13.6755834453997,0
1715003187,4.72456140350915,13.6742126338793,0
1715003197,4.7350877192999,13.6728043001457,0
1715003207,4.7350877192999,13.6728043001457,0
1715003217,4.72631578947044,13.673467192578,0
1715003227,4.70668318134529,13.6731645133919,0
1715003237,4.70668318134529,13.6731645133919,0
1715003247,4.70317439710419,13.6734221659222,0
1715003257,4.70526315789557,13.6739699902342,0
1715003267,4.70526315789557,13.6739699902342,0
1715003277,4.63299871227313,13.6732995933593,0
1715003287,4.68738486801298,13.672514128364,0
1715003297,4.68738486801298,13.672514128364,0
1715003307,4.6189635753131,13.6729493860365,0
1715003317,4.67159533892841,13.6751081640331,0
1715003327,4.67159533892841,13.6751081640331,0
1715003337,4.62982456140677,13.6768441917615,0
1715003347,4.64770299051785,13.6788378720202,0
1715003357,4.64770299051785,13.6788378720202,0
1715003367,4.57719298245785,13.6793256607912,0
1715003377,4.51754385965041,13.684218557386,0
1715003387,4.51754385965041,13.684218557386,0
1715003397,4.48596491228234,13.6872878744216,0
1715003407,4.48630004807186,13.688578638554,0
1715003417,4.48630004807186,13.688578638554,0
1715003427,4.37334867841783,13.6918530770216,0
1715003437,4.4754385964912,13.6951450258553,0
1715003447,4.4754385964912,13.6951450258553,0
1715003457,4.94703490187851,13.7445517746506,0
1715003467,7.00844564366755,13.7666998863327,0
1715003477,7.00844564366755,13.7666998863327,0
1715003487,10.0470527966727,14.8520173942974,0
1715003497,12.3333333333346,14.8591341073916,0
1715003507,12.3333333333346,14.8591341073916,0
1715003517,12.4052631578954,14.8674590357492,0
1715003527,12.6599555791018,14.876104153659,0
1715003537,12.6599555791018,14.876104153659,0
1715003547,12.7666666666683,14.8855497454493,0
1715003557,12.8438596491236,14.8931617517571,0
1715003567,12.8438596491236,14.8931617517571,0
1715003577,12.8599548773532,14.9006611914253,0
1715003587,12.8827618148675,14.9119903983158,0
1715003597,12.8827618148675,14.9119903983158,0
1715003607,12.8599548773519,14.9216060908058,0
1715003617,12.9084663454958,14.9268291828763,0
1715003627,12.9084663454958,14.9268291828763,0
1715003637,12.8561403508764,14.932027260138,0
1715003647,12.8856592479276,14.937382930695,0
1715003657,12.8856592479276,14.937382930695,0
1715003667,12.8245614035088,14.9402371203753,0
1715003677,12.843859649124,14.9453151265549,0
1715003687,12.843859649124,14.9453151265549,0
1715003697,12.8315789473702,14.9508283904071,0
1715003707,12.8669723965876,14.9576549317196,0
1715003717,12.8669723965876,14.9576549317196,0
1715003727,12.7175438596493,14.9671430486848,0
1715003737,12.2932901989797,14.979938123369,0
1715003747,12.2932901989797,14.979938123369,0
1715003757,10.6950501928061,14.9871874149497,0
1715003767,7.69506071908513,14.9947393857164,0
1715003777,7.69506071908513,14.9947393857164,0
1715003787,5.37686097144451,14.9959651113459,0
1715003797,5.3582268132378,14.9993546179338,0
1715003807,5.3582268132378,14.9993546179338,0
1715003817,5.05087719298414,15.0002901717817,0
1715003827,4.9807017543842,15.0029467444727,0
1715003837,4.9807017543842,15.0029467444727,0
1715003847,4.93542127922216,15.0066014080336,0
1715003857,4.91754385964853,15.0106813233434,0
1715003867,4.91754385964853,15.0106813233434,0
1715003877,4.87894736842233,15.0153715999872,0
1715003887,4.91545584370536,15.0206972527737,0
1715003897,4.91545584370536,15.0206972527737,0
1715003907,4.85789473684045,15.0261079559099,0
1715003917,4.9189646279467,15.0313360509422,0
1715003927,4.9189646279467,15.0313360509422,0
1715003937,4.89857930322988,15.0364991074716,0
1715003947,4.98771929824296,15.0414595440501,0
1715003957,4.98771929824296,15.0414595440501,0
1715003967,4.97017543859593,15.0479533884059,0
1715003977,4.99791227337342,15.0548974993196,0
1715003987,4.99791227337342,15.0548974993196,0
1715003997,4.94528050975763,15.0613988481181,0
1715004007,4.99791227337701,15.0687181811633,0
1715004017,4.99791227337701,15.0687181811633,0
